Overall rank,Country or region, Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
1,Finland,7.809,1.027,0.954,0.71901,0.949,-0.059,0.195
2,Denmark,7.646,1.032,0.956,0.72403,0.951,0.066,0.168
3,Switzerland,7.56,1.041,0.943,0.74102,0.921,0.106,0.304
4,Iceland,7.504,1.032,0.975,0.73,0.949,0.247,0.712
5,Norway,7.488,1.045,0.952,0.73201,0.956,0.135,0.263
6,Netherlands,7.449,1.034,0.939,0.72301,0.909,0.208,0.365
7,Sweden,7.353,1.032,0.926,0.72601,0.939,0.112,0.251
8,New Zealand,7.3,1.021,0.949,0.73203,0.936,0.192,0.221
9,Austria,7.294,1.031,0.928,0.73003,0.9,0.085,0.5
10,Luxembourg,7.238,1.059,0.907,0.726,0.906,-0.005,0.367
11,Canada,7.232,1.029,0.927,0.73602,0.934,0.125,0.391
12,Australia,7.223,1.03,0.945,0.73605,0.915,0.19,0.415
13,United Kingdom,7.165,1.025,0.937,0.72302,0.835,0.264,0.436
14,Israel,7.129,1.018,0.914,0.732,0.748,0.103,0.781
15,Costa Rica,7.121,0.985,0.902,0.713,0.935,-0.102,0.786
16,Ireland,7.094,1.048,0.942,0.72301,0.887,0.146,0.357
17,Germany,7.076,1.031,0.899,0.72202,0.867,0.08,0.456
18,United States,6.94,1.038,0.914,0.68299,0.843,0.15,0.7
19,Czech Republic,6.911,1.017,0.914,0.70048,0.819,-0.231,0.858
20,Belgium,6.864,1.028,0.912,0.72002,0.814,-0.079,0.612
21,United Arab Emirates,6.791,1.046,0.849,0.67083,0.941,0.123,0.595
22,Malta,6.773,1.023,0.93,0.722,0.925,0.215,0.659
23,France,6.664,1.025,0.937,0.73802,0.825,-0.131,0.584
24,Mexico,6.465,0.991,0.839,0.68299,0.859,-0.175,0.807
25,Taiwan Province of China,6.455,1.032,0.894,0.696,0.772,-0.073,0.732
26,Uruguay,6.44,0.998,0.923,0.69003,0.892,-0.101,0.636
27,Saudi Arabia,6.406,1.033,0.874,0.66305,0.854,-0.169,0.683
28,Spain,6.401,1.02,0.921,0.74403,0.752,-0.051,0.766
29,Guatemala,6.399,0.951,0.817,0.64809,0.908,-0.043,0.783
30,Italy,6.387,1.02,0.89,0.73602,0.665,-0.043,0.873
31,Singapore,6.377,1.057,0.91,0.76805,0.927,0.03,0.11
32,Brazil,6.376,0.981,0.897,0.6648,0.8,-0.102,0.771
33,Slovenia,6.363,1.017,0.94,0.71103,0.936,-0.081,0.817
34,El Salvador,6.348,0.95,0.806,0.66108,0.834,-0.121,0.754
35,Kosovo,6.325,0.964,0.821,0.63886,0.862,0.191,0.922
36,Panama,6.305,1.001,0.902,0.69603,0.88,-0.154,0.852
37,Slovakia,6.281,1.015,0.922,0.68906,0.75,-0.124,0.918
38,Uzbekistan,6.258,0.942,0.927,0.65108,0.975,0.248,0.501
39,Chile,6.228,1.001,0.88,0.69901,0.745,-0.066,0.838
40,Bahrain,6.227,1.028,0.876,0.685,0.906,0.134,0.739
41,Lithuania,6.215,1.015,0.926,0.67294,0.747,-0.22,0.81
42,Trinidad and Tobago,6.192,1.011,0.915,0.635,0.858,0.001,0.912
43,Poland,6.186,1.011,0.874,0.69311,0.862,-0.205,0.687
44,Colombia,6.163,0.978,0.884,0.677,0.836,-0.161,0.865
45,Cyprus,6.159,1.017,0.806,0.73702,0.78,0.044,0.856
46,Nicaragua,6.137,0.929,0.857,0.67507,0.864,0.021,0.666
47,Romania,6.124,1.005,0.825,0.67207,0.843,-0.198,0.934
48,Kuwait,6.102,1.045,0.846,0.66768,0.872,-0.1,0.761
49,Mauritius,6.101,0.998,0.91,0.66404,0.89,-0.018,0.805
50,Kazakhstan,6.058,1.005,0.935,0.6461,0.812,-0.068,0.764
51,Estonia,6.022,1.015,0.935,0.68605,0.878,-0.112,0.623
52,Philippines,6.006,0.954,0.847,0.61927,0.915,-0.105,0.734
53,Hungary,6,1.011,0.922,0.6761,0.719,-0.194,0.893
54,Thailand,5.999,0.989,0.89,0.67251,0.905,0.269,0.886
55,Argentina,5.975,0.992,0.901,0.68804,0.831,-0.195,0.842
56,Honduras,5.953,0.926,0.822,0.67199,0.871,0.087,0.801
57,Latvia,5.95,1.008,0.918,0.66807,0.671,-0.187,0.796
58,Ecuador,5.925,0.966,0.836,0.685,0.86,-0.127,0.801
59,Portugal,5.911,1.011,0.887,0.72402,0.889,-0.221,0.893
60,Jamaica,5.89,0.955,0.916,0.671,0.858,-0.125,0.889
61,South Korea,5.872,1.022,0.799,0.73603,0.613,-0.043,0.789
62,Japan,5.871,1.024,0.884,0.75001,0.81,-0.247,0.655
63,Peru,5.797,0.976,0.831,0.681,0.825,-0.162,0.894
64,Serbia,5.778,0.986,0.881,0.6821,0.726,-0.074,0.844
65,Bolivia,5.747,0.947,0.803,0.636,0.876,-0.092,0.823
66,Pakistan,5.693,0.929,0.689,0.58253,0.735,0.045,0.746
67,Paraguay,5.692,0.973,0.899,0.6564,0.886,0.008,0.835
68,Dominican Republic,5.689,0.985,0.882,0.65807,0.866,-0.131,0.756
69,Bosnia and Herzegovina,5.674,0.976,0.829,0.67808,0.651,0.098,0.934
70,Moldova,5.608,0.943,0.843,0.65013,0.722,-0.038,0.913
71,Tajikistan,5.556,0.904,0.835,0.64105,0.831,-0.025,0.592
72,Montenegro,5.546,0.989,0.855,0.68505,0.65,-0.076,0.783
73,Russia,5.546,1.006,0.903,0.641,0.73,-0.151,0.865
74,Kyrgyzstan,5.542,0.911,0.887,0.64106,0.909,0.155,0.888
75,Belarus,5.54,0.99,0.907,0.66104,0.639,-0.165,0.636
76,North Cyprus,5.536,1.017,0.82,0.73702,0.795,0,0.626
77,Greece,5.515,1.006,0.814,0.72405,0.541,-0.301,0.86
78,Hong Kong S.A.R. of China,5.51,1.039,0.846,0.76772,0.78,0.135,0.421
79,Croatia,5.505,1.003,0.875,0.70215,0.715,-0.129,0.916
80,Libya,5.489,0.991,0.826,0.623,0.773,-0.085,0.669
81,Mongolia,5.456,0.974,0.937,0.62304,0.693,0.098,0.864
82,Malaysia,5.384,1.011,0.817,0.67102,0.895,0.115,0.839
83,Vietnam,5.353,0.945,0.85,0.67953,0.94,-0.095,0.796
84,Indonesia,5.286,0.972,0.808,0.62156,0.871,0.52,0.876
85,Ivory Coast,5.233,0.915,0.658,0.49504,0.728,-0.044,0.791
86,Benin,5.216,0.885,0.469,0.54312,0.735,-0.004,0.741
87,Maldives,5.198,0.979,0.913,0.706,0.854,0.038,0.824
88,Congo (Brazzaville),5.194,0.931,0.64,0.57924,0.719,-0.124,0.752
89,Azerbaijan,5.165,0.986,0.819,0.65508,0.787,-0.24,0.553
90,Macedonia,5.16,0.978,0.82,0.67504,0.739,-0.02,0.897
91,Ghana,5.148,0.922,0.729,0.57204,0.795,0.094,0.848
92,Nepal,5.137,0.899,0.786,0.63779,0.798,0.154,0.738
93,Turkey,5.132,1.006,0.826,0.66903,0.609,-0.171,0.748
94,China,5.124,0.986,0.799,0.69289,0.899,-0.181,0.754
95,Turkmenistan,5.119,0.989,0.959,0.62212,0.826,0.188,0.884
96,Bulgaria,5.102,0.994,0.938,0.66804,0.745,-0.144,0.936
97,Morocco,5.095,0.951,0.593,0.65896,0.772,-0.24,0.816
98,Cameroon,5.085,0.909,0.7,0.52705,0.763,-0.001,0.851
99,Venezuela,5.053,0.953,0.89,0.66505,0.623,-0.169,0.837
100,Algeria,5.005,0.979,0.803,0.65905,0.467,-0.121,0.735
101,Senegal,4.981,0.91,0.724,0.59599,0.691,-0.052,0.809
102,Guinea,4.949,0.889,0.638,0.54468,0.707,0.076,0.762
103,Niger,4.91,0.835,0.617,0.535,0.76,0.014,0.723
104,Laos,4.889,0.944,0.738,0.5871,0.907,0.111,0.635
105,Albania,4.883,0.974,0.671,0.68708,0.782,-0.042,0.896
106,Cambodia,4.848,0.916,0.773,0.6153,0.96,0.052,0.823
107,Bangladesh,4.833,0.918,0.687,0.64503,0.901,-0.034,0.662
108,Gabon,4.829,0.986,0.788,0.59715,0.705,-0.222,0.849
109,South Africa,4.814,0.973,0.853,0.56506,0.759,-0.11,0.843
110,Iraq,4.785,0.985,0.748,0.59904,0.633,-0.07,0.822
111,Lebanon,4.772,0.971,0.824,0.67107,0.551,-0.061,0.902
112,Burkina Faso,4.769,0.873,0.713,0.53889,0.666,-0.019,0.74
113,Gambia,4.751,0.865,0.693,0.55012,0.733,0.343,0.691
114,Mali,4.729,0.883,0.731,0.51727,0.712,-0.044,0.839
115,Nigeria,4.724,0.933,0.737,0.49862,0.76,0.034,0.862
116,Armenia,4.677,0.959,0.757,0.66751,0.712,-0.139,0.774
117,Georgia,4.673,0.965,0.629,0.64495,0.802,-0.229,0.666
118,Iran,4.672,0.992,0.695,0.66006,0.648,0.118,0.715
119,Jordan,4.633,0.955,0.802,0.668,0.751,-0.163,0.7
120,Mozambique,4.624,0.849,0.724,0.54206,0.864,0.032,0.683
121,Kenya,4.583,0.905,0.703,0.60097,0.83,0.295,0.831
122,Namibia,4.571,0.964,0.847,0.56501,0.768,-0.185,0.851
123,Ukraine,4.561,0.955,0.879,0.64607,0.663,-0.031,0.921
124,Liberia,4.558,0.848,0.709,0.56096,0.735,0.042,0.856
125,Palestinian Territories,4.553,0.924,0.825,0.6225,0.646,-0.162,0.824
126,Uganda,4.432,0.875,0.765,0.55708,0.732,0.099,0.837
127,Chad,4.423,0.873,0.632,0.48221,0.587,0.018,0.803
128,Tunisia,4.392,0.969,0.689,0.66898,0.593,-0.216,0.868
129,Mauritania,4.375,0.916,0.791,0.5701,0.552,-0.106,0.746
130,Sri Lanka,4.327,0.973,0.825,0.672,0.838,0.081,0.859
131,Congo (Kinshasa),4.311,0.826,0.672,0.529,0.701,0.084,0.809
132,Swaziland,4.308,0.962,0.77,0.51188,0.647,-0.199,0.708
133,Myanmar,4.308,0.939,0.784,0.58962,0.895,0.561,0.645
134,Comoros,4.289,0.894,0.626,0.57349,0.548,0.09,0.781
135,Togo,4.187,0.867,0.551,0.5472,0.65,0.003,0.758
136,Ethiopia,4.186,0.876,0.743,0.5864,0.741,0.043,0.754
137,Madagascar,4.166,0.862,0.668,0.59105,0.558,-0.012,0.817
138,Egypt,4.151,0.969,0.735,0.6178,0.708,-0.197,0.788
139,Sierra Leone,3.926,0.861,0.636,0.50865,0.715,0.089,0.861
140,Burundi,3.775,0.812,0.49,0.534,0.626,-0.018,0.607
141,Zambia,3.759,0.915,0.699,0.55299,0.807,0.078,0.801
142,Haiti,3.721,0.87,0.593,0.55599,0.538,0.401,0.685
143,Lesotho,3.653,0.901,0.78,0.48004,0.738,-0.146,0.857
144,India,3.573,0.947,0.592,0.60215,0.881,0.058,0.772
145,Malawi,3.538,0.849,0.544,0.57593,0.803,0.021,0.732
146,Yemen,3.527,0.89,0.818,0.56727,0.6,-0.158,0.8
147,Botswana,3.479,0.987,0.779,0.58924,0.821,-0.25,0.778
148,Tanzania,3.476,0.901,0.689,0.57496,0.822,0.11,0.62
149,Central African Republic,3.476,0.821,0.319,0.452,0.641,0.082,0.892
150,Rwanda,3.312,0.881,0.541,0.61099,0.901,0.055,0.184
151,Zimbabwe,3.299,0.896,0.763,0.55617,0.711,-0.072,0.81
152,South Sudan,2.817,0.871,0.554,0.51,0.451,0.017,0.763
153,Afghanistan,2.567,0.873,0.47,0.5259,0.397,-0.096,0.934
