Overall rank,Country or region,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
1,Finland,7.842,1.032,0.954,0.72,0.949,-0.098,0.186
2,Denmark,7.62,1.039,0.954,0.727,0.946,0.03,0.179
3,Switzerland,7.571,1.046,0.942,0.744,0.919,0.025,0.292
4,Iceland,7.554,1.037,0.983,0.73,0.955,0.16,0.673
5,Netherlands,7.464,1.039,0.942,0.724,0.913,0.175,0.338
6,Norway,7.392,1.043,0.954,0.733,0.96,0.093,0.27
7,Sweden,7.363,1.036,0.934,0.727,0.945,0.086,0.237
8,Luxembourg,7.324,1.066,0.908,0.726,0.907,-0.034,0.386
9,New Zealand,7.277,1.027,0.948,0.734,0.929,0.134,0.242
10,Austria,7.268,1.038,0.934,0.733,0.908,0.042,0.481
11,Australia,7.183,1.033,0.94,0.739,0.914,0.159,0.442
12,Israel,7.157,1.024,0.939,0.73503,0.8,0.031,0.753
13,Germany,7.155,1.036,0.903,0.725,0.875,0.011,0.46
14,Canada,7.103,1.032,0.926,0.738,0.915,0.089,0.415
15,Ireland,7.085,1.055,0.947,0.724,0.879,0.077,0.363
16,Costa Rica,7.069,0.995,0.891,0.714,0.934,-0.126,0.809
17,United Kingdom,7.064,1.03,0.934,0.725,0.859,0.233,0.459
18,Czech Republic,6.965,1.023,0.947,0.70807,0.858,-0.208,0.868
19,United States,6.951,1.042,0.92,0.682,0.837,0.098,0.698
20,Belgium,6.834,1.034,0.906,0.72199,0.783,-0.153,0.646
21,France,6.69,1.03,0.942,0.74,0.822,-0.147,0.571
22,Bahrain,6.647,1.028,0.862,0.69495,0.925,0.089,0.722
23,Malta,6.602,1.028,0.931,0.722,0.927,0.133,0.653
24,Taiwan Province of China,6.584,1.036,0.898,0.696,0.784,-0.07,0.721
25,United Arab Emirates,6.561,1.045,0.844,0.67333,0.932,0.074,0.589
26,Saudi Arabia,6.494,1.031,0.891,0.66603,0.877,-0.149,0.684
27,Spain,6.491,1.024,0.932,0.747,0.761,-0.081,0.745
28,Italy,6.483,1.026,0.88,0.738,0.693,-0.084,0.866
29,Slovenia,6.461,1.022,0.948,0.714,0.949,-0.101,0.806
30,Guatemala,6.435,0.957,0.813,0.64958,0.906,-0.038,0.775
31,Uruguay,6.431,0.999,0.925,0.691,0.896,-0.092,0.59
32,Singapore,6.377,1.06,0.915,0.76953,0.927,-0.018,0.082
33,Kosovo,6.372,0.969,0.821,0.63813,0.869,0.257,0.917
34,Slovakia,6.331,1.016,0.936,0.69201,0.766,-0.124,0.911
35,Brazil,6.33,0.981,0.882,0.66601,0.804,-0.071,0.756
36,Mexico,6.317,0.994,0.831,0.68597,0.862,-0.147,0.799
37,Jamaica,6.309,0.963,0.877,0.675,0.89,-0.137,0.884
38,Lithuania,6.255,1.021,0.935,0.67906,0.773,-0.203,0.826
39,Cyprus,6.223,1.024,0.802,0.73898,0.763,-0.015,0.844
40,Estonia,6.189,1.02,0.941,0.688,0.909,-0.106,0.527
41,Panama,6.18,1.015,0.896,0.69652,0.872,-0.166,0.856
42,Uzbekistan,6.179,0.946,0.918,0.65255,0.97,0.311,0.515
43,Chile,6.172,1.003,0.882,0.7,0.742,-0.044,0.83
44,Poland,6.166,1.016,0.898,0.69702,0.841,-0.165,0.735
45,Kazakhstan,6.152,1.007,0.952,0.652,0.853,-0.069,0.733
46,Romania,6.14,1.012,0.832,0.67355,0.845,-0.219,0.938
47,Kuwait,6.106,1.034,0.843,0.669,0.867,-0.104,0.736
48,Serbia,6.078,0.991,0.873,0.686,0.778,0.002,0.835
49,El Salvador,6.061,0.957,0.762,0.66402,0.888,-0.11,0.688
50,Mauritius,6.049,1,0.905,0.66701,0.867,-0.054,0.789
51,Latvia,6.032,1.013,0.927,0.671,0.715,-0.162,0.8
52,Colombia,6.012,0.98,0.847,0.68001,0.837,-0.135,0.841
53,Hungary,5.992,1.015,0.943,0.68,0.755,-0.186,0.876
54,Thailand,5.985,0.991,0.888,0.67401,0.884,0.287,0.895
55,Nicaragua,5.972,0.936,0.864,0.67657,0.836,0.02,0.664
56,Japan,5.94,1.026,0.884,0.751,0.796,-0.258,0.638
57,Argentina,5.929,0.998,0.898,0.69,0.828,-0.182,0.834
58,Portugal,5.929,1.018,0.879,0.726,0.892,-0.244,0.887
59,Honduras,5.919,0.937,0.812,0.673,0.857,0.081,0.809
60,Croatia,5.882,1.009,0.924,0.70799,0.754,-0.118,0.939
61,Philippines,5.88,0.958,0.83,0.62,0.917,-0.097,0.742
62,South Korea,5.845,1.027,0.799,0.739,0.672,-0.083,0.727
63,Peru,5.84,0.976,0.832,0.6825,0.822,-0.154,0.891
64,Bosnia and Herzegovina,5.813,0.982,0.87,0.68098,0.706,0.113,0.931
65,Moldova,5.766,0.976,0.857,0.65699,0.822,-0.079,0.918
66,Ecuador,5.764,0.969,0.821,0.688,0.842,-0.124,0.843
67,Kyrgyzstan,5.744,0.931,0.893,0.64401,0.935,0.119,0.908
68,Greece,5.723,1.012,0.823,0.726,0.582,-0.288,0.823
69,Bolivia,5.716,0.956,0.81,0.63901,0.875,-0.077,0.839
70,Mongolia,5.677,0.973,0.935,0.625,0.708,0.116,0.856
71,Paraguay,5.653,0.975,0.893,0.659,0.876,0.028,0.882
72,Montenegro,5.581,0.997,0.858,0.68699,0.708,-0.034,0.812
73,Dominican Republic,5.545,0.991,0.853,0.66102,0.86,-0.133,0.714
74,North Cyprus,5.536,1.024,0.82,0.73898,0.795,0.012,0.626
75,Belarus,5.534,0.994,0.91,0.66253,0.65,-0.18,0.627
76,Russia,5.477,1.008,0.903,0.64703,0.718,-0.111,0.845
77,Hong Kong S.A.R. of China,5.477,1.041,0.836,0.7682,0.717,0.067,0.403
78,Tajikistan,5.466,0.908,0.86,0.64281,0.832,-0.056,0.553
